번호,명칭,위치,동이름,위도,경도,설치기구종류,운동기구 총계,담당부서,데이터기준일
26,까치산 근린공원,행운동 산66-1,행운동,37.4764527,126.9693215,"공중걷기,파도타기,허리돌리기,레그프레스,역기올리기,등허리제치기,거꾸로 매달리기,철봉,양팔중당기기,평행봉,윗몸일으키기,어깨근육풀기",16,공원녹지과,#######
27,장군봉 근린공원,봉림중 뒤편,신림동,37.47998945,126.9364413,"공중걷기,파도타기,허리돌리기,상체근육풀기,달리기,역기올리기,어깨근육풀기,윗몸일으키기,역기내리기,등허리 지압,다리찢기,거꾸로매달리기,역기,철봉,평행봉,허벅지운동,레그프레스,레그익스텐션,종아리풀기",57,공원녹지과,#######
28,상도 근린공원,국사봉 체육관일대,봉천동,37.49178612,126.9417286,"공중걷기,파도타기,허리돌리기,상체근육풀기,달리기,역기올리기,레그프레스,어깨근육풀기,윗몸일으키기,역기내리기,등허리 지압,양팔줄당기기,철봉,평행봉,버터플라이,노젓기,종아리풀풀기,역기",57,공원녹지과,#######
29,약수 어린이공원,서울특별시 관악구 봉천동 1510-19,봉천동,37.47396789,126.9623416,"터닝암,허리돌리기,하늘걷기",3,공원녹지과,#######
30,대협 어린이공원,서울특별시 관악구 미성동 746-32,미성동,37.47483844,126.9133898,"하늘걷기,싸이드,스텝싸이클",3,공원녹지과,#######
31,난우 어린이공원,서울특별시 관악구 미성동 1482-1,미성동,37.48034684,126.9140143,"허리돌리기,하늘걷기,싸이드",3,공원녹지과,#######
32,난곡 어린이공원,서울특별시 관악구 미성7길,신림동,37.47408463,126.9152698,싸이드,1,공원녹지과,#######
33,한라 어린이공원,서울특별시 관악구 미성동 759-39,미성동,37.47566414,126.914663,"달리기,허리돌리기,하늘걷기,가슴운동",4,공원녹지과,#######
34,신라 어린이공원,서울특별시 관악구 미성동 744-1,미성동,37.47360364,126.9126127,"싸이드, 달리기",2,공원녹지과,#######
35,합실 어린이공원,서울특별시 관악구 신림동,신림동,37.46511881,126.9270007,"터닝암,자전거,하늘걷기,역기올리기",4,공원녹지과,#######
36,약수암 어린이공원,서울특별시 관악구 신림동,신림동,37.4593612,126.9329214,"자전거,하늘걷기,싸이드,터닝암",4,공원녹지과,#######
37,사우촌 어린이공원,서울특별시 관악구 대학동 1555-1,대학동,37.46753531,126.934154,"허리돌리기,터닝암,달리기",3,공원녹지과,#######
38,목화 어린이공원,서울특별시 관악구 신림동 1716-1,신림동,37.46789236,126.9422508,"싸이드,허리돌리기",2,공원녹지과,#######
39,태양 어린이공원,서울특별시 관악구 신림동 1542-1,신림동,37.46855739,126.9364433,"철봉,하늘걷기,허리돌리기,싸이드",4,공원녹지과,#######
40,새숲 어린이공원,서울특별시 관악구 신림동,신림동,37.48242525,126.9130473,"싸이드,하늘걷기,윗몸일으키기",3,공원녹지과,#######
41,미도 어린이공원,서울특별시 관악구 신림동 난향길 미도어린이공원,신림동,37.46287146,126.9152456,"자전기,터닝암,허리돌리기,하늘걷기",4,공원녹지과,#######
42,색동 어린이공원,서울특별시 관악구 신림동 신림로70길 색동어린이공원,신림동,37.48644101,126.93267,"하늘걷기,허리돌리기,싸이드,노젓기",4,공원녹지과,#######
43,새들 어린이공원,서울특별시 관악구 신림동 봉천로6길 새들어린이공원,신림동,37.48879694,126.9256884,"하늘걷기,역기올리기,노젓기,허리돌리기,마사지기",5,공원녹지과,#######
44,남부 어린이공원,서울특별시 관악구 신림동 남부순환로163가길,신림동,37.48496598,126.9205606,"하늘걷기,싸이드,터닝암",3,공원녹지과,#######
45,일선 어린이공원,서울특별시 관악구 봉천동 쑥고개로26길 일선어린이공원,봉천동,37.47794613,126.9494416,"근육풀기,지압운동,허리돌리기,싸이드,터닝암",5,공원녹지과,#######
46,봉림 어린이공원,서울특별시 관악구 신림동 남부순환로 봉림어린이공원,신림동,37.4827557,126.9356256,"역기올리기,하늘걷기,허리돌리기",3,공원녹지과,#######
47,호박골 어린이공원,서울특별시 관악구 신림동 1580-24,신림동,37.48204844,126.9239552,"하늘걷기,허리돌리기,싸이드",3,공원녹지과,#######
48,무궁화 어린이공원,서울특별시 관악구 신림동 난곡로26길 무궁화어린이공원,신림동,37.46970083,126.9235093,"하늘걷기,허리돌리기,싸이드,자전거,터닝암",5,공원녹지과,#######
49,보명 어린이공원,서울특별시 관악구 신림동 610-298,신림동,37.47549392,126.92562,"하늘걷기,노젓기,허리돌리기",3,공원녹지과,#######
50,쑥고개 어린이공원,서울특별시 관악구 쑥고개로2라길,신림동,37.47585144,126.9408056,"하늘걷기,허리돌리기,싸이드",3,공원녹지과,#######
51,신화 어린이공원,서울특별시 관악구 신림로39길,신림동,37.4768712,126.9356706,"허리돌리기,싸이드,노젓기,하늘걷기",4,공원녹지과,#######
52,해태 어린이공원,서울특별시 관악구 신림동 103-141,신림동,37.4725926,126.9406156,"하늘걷기,달리기,자전거,터닝암,철봉,싸이드",6,공원녹지과,#######
53,서광 어린이공원,서울특별시 관악구 서림동 98-402,서림동,37.47517913,126.9424969,허리돌리기,1,공원녹지과,#######
54,서원 어린이공원,서울특별시 관악구 서원3길,신림동,37.47679408,126.9333335,"허리돌리기,하늘걷기,싸이드,터닝암,달리기",5,공원녹지과,#######
55,상록 어린이공원,서울특별시 관악구 남현동 승방3가길,남현동,37.47298895,126.9803485,"터닝암,하늘걷기,싸이드,허리돌리기,지압운동,철봉",6,공원녹지과,#######
56,예촌 어린이공원,서울특별시 관악구 남현동 1066-40,남현동,37.47458645,126.9767239,"철봉,하늘걷기,싸이드,지압운동,달리기",5,공원녹지과,#######
57,군아파트 어린이공원,서울특별시 관악구 남현동 602-153,남현동,37.47195485,126.9789702,"하늘걷기,역기올리기,터닝암",3,공원녹지과,#######
58,교체 어린이공원,서울특별시 관악구 인헌동 196-193,인헌동,37.47331002,126.9640262,"하늘걷기,터닝암,역기올리기,허리돌리기",4,공원녹지과,#######
59,밤골 어린이공원,서울특별시 관악구 봉천동 인헌길 밤골어린이공원,봉천동,37.47403159,126.9672505,"허리돌리기,싸이드,하늘걷기",3,공원녹지과,#######
60,인헌 어린이공원,서울특별시 관악구 봉천동 196-240,봉천동,37.47537711,126.9625619,"허리돌리기,하늘걷기,자전거",3,공원녹지과,#######
61,원당 어린이공원,서울특별시 관악구 봉천동 낙성대역길 원당어린이공원,봉천동,37.47486901,126.963498,"싸이드,달리기,노젓기,자전거",4,공원녹지과,#######
62,새싹 어린이공원,서울특별시 관악구 봉천동 양녕로6다길 새싹어린이공원,봉천동,37.48443876,126.9495842,"허리돌리기,하늘걷기,노젓기,싸이드",4,공원녹지과,#######
63,미성동 소공원,서울특별시 관악구 미성동 888-2,미성동,37.477143,126.913689,"하늘걷기,허리돌리기,터닝암",3,공원녹지과,#######
64,선봉 어린이공원,서울특별시 관악구 봉천동 봉천로27길,봉천동,37.48516503,126.9394575,"하늘걷기,허리돌리기,터닝암",5,공원녹지과,#######
65,은천 어린이공원,서울특별시 관악구 봉천동 은천로 은천어린이공원,봉천동,37.48829467,126.9430099,"흔들이,스텝싸이클,터닝암,허리돌리기",6,공원녹지과,#######
66,국회단지 어린이공원,서울특별시 관악구 봉천동 635-37,봉천동,37.49022471,126.9433397,"제자리걷기,허리돌리기,흔들이,암벽타기,하늘걷기,온몸역기올리기,다리들어올리기",10,공원녹지과,#######
67,국지 어린이공원,서울특별시 관악구 봉천동,봉천동,37.49001168,126.9405537,"하늘걷기,스텝싸이클,터닝암,허리돌리기",5,공원녹지과,#######
68,국사봉 어린이공원,서울특별시 관악구 봉천동 1511-7,봉천동,37.48998557,126.9341848,"롤링암,하늘걷기,스텝싸이클,온몸역기올리기,온몸근육풀기,제자리걷기",6,공원녹지과,#######
69,학다리 어린이공원,서울특별시 관악구 봉천동 산104-60,봉천동,37.48884182,126.9378574,"허리돌리기, 암벽타기",2,공원녹지과,#######
70,청룡 어린이공원,서울특별시 관악구 청룡12길,봉천동,37.47768667,126.9447092,"하늘걷기, 터닝암, 허리돌리기",3,공원녹지과,#######
71,비안 어린이공원,서울특별시 관악구 봉천동 장군봉5길 비안어린이공원,봉천동,37.4809837,126.9402085,"하늘걷기,터닝암,온몸역기올리기,허리돌리기",4,공원녹지과,#######
72,용담 어린이공원,서울특별시 관악구 청룡동 850-8,청룡동,37.47554651,126.9435408,허리돌리기,1,공원녹지과,#######
73,영락 어린이공원,서울특별시 관악구 청룡동 1555-16,청룡동,37.4768281,126.9437348,온몸역기올리기,1,공원녹지과,#######
74,으뜸 어린이공원,서울특별시 관악구 청룡동 1538-26,청룡동,37.47845511,126.9410498,"터닝암,스텝싸이클,등허리지압기,상체원그리기,온몸역기올리기",5,공원녹지과,#######
75,까치 어린이공원,서울특별시 관악구 봉천동 행운4길 까치어린이공원,봉천동,37.47994325,126.9595981,"흔들이,터닝암,하늘걷기,온몸역기올리기,허리돌리기,상체원그리기",9,공원녹지과,#######
76,장미 어린이공원,서울특별시 관악구 봉천동 148-103,봉천동,37.47907129,126.9623674,"스탭싸이클,암벽타기,허리돌리기",4,공원녹지과,#######
77,모래내 어린이공원,서울특별시 관악구 봉천동 남부순환로230길 모래내어린이공원,봉천동,37.47780085,126.9555808,"흔들이,윗몸일으키기,하늘걷기,평행봉,온몸역기올리기",7,공원녹지과,#######
78,백설 어린이공원,서울특별시 관악구 봉천동 1606-11,봉천동,37.47600499,126.9536698,"다리들기,허리돌리기,터닝암",5,공원녹지과,#######
79,탑골 어린이공원,서울특별시 관악구 봉천동 1510,봉천동,37.47446048,126.9610949,"흔들이,제자리걷기,허리돌리기,상체원돌리기",5,공원녹지과,#######
