번호,명칭,위치,동이름,위도,,,경도,설치기구종류,운동기구 총계,담당부서,데이터기준일
28,상도 근린공원,서울특별시 관악구 국사봉 체육관일대,봉천동,"374,917,861,200,000",37.49178612,0.49178612,"1,269,417,286,000,000","공중걷기,파도타기,허리돌리기,상체근육풀기,달리기,역기올리기,레그프레스,어깨근육풀기,윗몸일으키기,역기내리기,등허리 지압,양팔줄당기기,철봉,평행봉,버터플라이,노젓기,종아리풀풀기,역기",57,공원녹지과,#######
29,약수 어린이공원,서울특별시 관악구 봉천동 1510-19,봉천동,"374,739,678,916,804",37.47396789,0.473967892,"1,269,623,415,814,730","터닝암,허리돌리기,하늘걷기",3,공원녹지과,#######
30,대협 어린이공원,서울특별시 관악구 미성동 746-32,미성동,"374,748,384,403,875",37.47483844,0.47483844,"1,269,133,897,574,050","하늘걷기,싸이드,스텝싸이클",3,공원녹지과,#######
31,난우 어린이공원,서울특별시 관악구 미성동 1482-1,미성동,"374,803,468,400,000",37.48034684,0.48034684,"1,269,140,143,000,000","허리돌리기,하늘걷기,싸이드",3,공원녹지과,#######
32,난곡 어린이공원,서울특별시 관악구 미성7길,신림동,"374,740,846,300,000",37.47408463,0.47408463,"1,269,152,698,000,000",싸이드,1,공원녹지과,#######
33,한라 어린이공원,서울특별시 관악구 미성동 759-39,미성동,"374,756,641,400,000",37.47566414,0.47566414,"1,269,146,630,000,000","달리기,허리돌리기,하늘걷기,가슴운동",4,공원녹지과,#######
34,신라 어린이공원,서울특별시 관악구 미성동 744-1,미성동,"374,736,036,400,000",37.47360364,0.47360364,"1,269,126,127,000,000","싸이드, 달리기",2,공원녹지과,#######
35,합실 어린이공원,서울특별시 관악구 신림동,신림동,"374,651,188,100,000",37.46511881,0.46511881,"1,269,270,007,000,000","터닝암,자전거,하늘걷기,역기올리기",4,공원녹지과,#######
36,약수암 어린이공원,서울특별시 관악구 신림동,신림동,"374,593,612,000,000",37.4593612,0.4593612,"1,269,329,214,000,000","자전거,하늘걷기,싸이드,터닝암",4,공원녹지과,#######
37,사우촌 어린이공원,서울특별시 관악구 대학동 1555-1,대학동,"374,675,353,100,000",37.46753531,0.46753531,"1,269,341,540,000,000","허리돌리기,터닝암,달리기",3,공원녹지과,#######
38,목화 어린이공원,서울특별시 관악구 신림동 1716-1,신림동,"374,678,923,600,000",37.46789236,0.46789236,"1,269,422,508,000,000","싸이드,허리돌리기",2,공원녹지과,#######
39,태양 어린이공원,서울특별시 관악구 신림동 1542-1,신림동,"374,685,573,900,000",37.46855739,0.46855739,"1,269,364,433,000,000","철봉,하늘걷기,허리돌리기,싸이드",4,공원녹지과,#######
40,새숲 어린이공원,서울특별시 관악구 신림동,신림동,"374,824,252,500,000",37.48242525,0.48242525,"1,269,130,473,000,000","싸이드,하늘걷기,윗몸일으키기",3,공원녹지과,#######
41,미도 어린이공원,서울특별시 관악구 신림동 난향길 미도어린이공원,신림동,"374,628,714,600,000",37.46287146,0.46287146,"1,269,152,456,000,000","자전기,터닝암,허리돌리기,하늘걷기",4,공원녹지과,#######
42,색동 어린이공원,서울특별시 관악구 신림동 신림로70길 색동어린이공원,신림동,"374,864,410,100,000",37.48644101,0.48644101,"1,269,326,700,000,000","하늘걷기,허리돌리기,싸이드,노젓기",4,공원녹지과,#######
43,새들 어린이공원,서울특별시 관악구 신림동 봉천로6길 새들어린이공원,신림동,"374,887,969,400,000",37.48879694,0.48879694,"1,269,256,884,000,000","하늘걷기,역기올리기,노젓기,허리돌리기,마사지기",5,공원녹지과,#######
44,남부 어린이공원,서울특별시 관악구 신림동 남부순환로163가길,신림동,"374,849,659,800,000",37.48496598,0.48496598,"1,269,205,606,000,000","하늘걷기,싸이드,터닝암",3,공원녹지과,#######
45,일선 어린이공원,서울특별시 관악구 봉천동 쑥고개로26길 일선어린이공원,봉천동,"374,779,461,300,000",37.47794613,0.47794613,"1,269,494,416,000,000","근육풀기,지압운동,허리돌리기,싸이드,터닝암",5,공원녹지과,#######
46,봉림 어린이공원,서울특별시 관악구 신림동 남부순환로 봉림어린이공원,신림동,"374,827,557,000,000",37.4827557,0.4827557,"1,269,356,256,000,000","역기올리기,하늘걷기,허리돌리기",3,공원녹지과,#######
47,호박골 어린이공원,서울특별시 관악구 신림동 1580-24,신림동,"374,820,484,400,000",37.48204844,0.48204844,"1,269,239,552,000,000","하늘걷기,허리돌리기,싸이드",3,공원녹지과,#######
48,무궁화 어린이공원,서울특별시 관악구 신림동 난곡로26길 무궁화어린이공원,신림동,"374,697,008,300,000",37.46970083,0.46970083,"1,269,235,093,000,000","하늘걷기,허리돌리기,싸이드,자전거,터닝암",5,공원녹지과,#######
49,보명 어린이공원,서울특별시 관악구 신림동 610-298,신림동,"374,754,939,200,000",37.47549392,0.47549392,"1,269,256,200,000,000","하늘걷기,노젓기,허리돌리기",3,공원녹지과,#######
50,쑥고개 어린이공원,서울특별시 관악구 쑥고개로2라길,신림동,"374,758,514,400,000",37.47585144,0.47585144,"1,269,408,056,000,000","하늘걷기,허리돌리기,싸이드",3,공원녹지과,#######
51,신화 어린이공원,서울특별시 관악구 신림로39길,신림동,"374,768,712,000,000",37.4768712,0.4768712,"1,269,356,706,000,000","허리돌리기,싸이드,노젓기,하늘걷기",4,공원녹지과,#######
52,해태 어린이공원,서울특별시 관악구 신림동 103-141,신림동,"374,725,925,976,468",37.4725926,0.472592598,"1,269,406,156,177,350","하늘걷기,달리기,자전거,터닝암,철봉,싸이드",6,공원녹지과,#######
53,서광 어린이공원,서울특별시 관악구 서림동 98-402,서림동,"374,751,791,318,706",37.47517913,0.475179132,"1,269,424,968,704,790",허리돌리기,1,공원녹지과,#######
54,서원 어린이공원,서울특별시 관악구 서원3길,신림동,"374,767,940,796,246",37.47679408,0.47679408,"1,269,333,334,983,990","허리돌리기,하늘걷기,싸이드,터닝암,달리기",5,공원녹지과,#######
55,상록 어린이공원,서울특별시 관악구 남현동 승방3가길,남현동,"374,729,889,500,000",37.47298895,0.47298895,"1,269,803,485,000,000","터닝암,하늘걷기,싸이드,허리돌리기,지압운동,철봉",6,공원녹지과,#######
56,예촌 어린이공원,서울특별시 관악구 남현동 1066-40,남현동,"374,745,864,496,147",37.47458645,0.47458645,"1,269,767,238,840,860","철봉,하늘걷기,싸이드,지압운동,달리기",5,공원녹지과,#######
57,군아파트 어린이공원,서울특별시 관악구 남현동 602-153,남현동,"374,719,548,500,000",37.47195485,0.47195485,"1,269,789,702,000,000","하늘걷기,역기올리기,터닝암",3,공원녹지과,#######
58,교체 어린이공원,서울특별시 관악구 인헌동 196-193,인헌동,"374,733,100,160,764",37.47331002,0.473310016,"1,269,640,262,293,500","하늘걷기,터닝암,역기올리기,허리돌리기",4,공원녹지과,#######
59,밤골 어린이공원,서울특별시 관악구 봉천동 인헌길 밤골어린이공원,봉천동,"374,740,315,938,354",37.47403159,0.474031594,"1,269,672,504,583,580","허리돌리기,싸이드,하늘걷기",3,공원녹지과,#######
60,인헌 어린이공원,서울특별시 관악구 봉천동 196-240,봉천동,"374,753,771,127,389",37.47537711,0.475377113,"1,269,625,618,981,050","허리돌리기,하늘걷기,자전거",3,공원녹지과,#######
61,원당 어린이공원,서울특별시 관악구 봉천동 낙성대역길 원당어린이공원,봉천동,"374,748,690,069,737",37.47486901,0.474869007,"1,269,634,980,282,880","싸이드,달리기,노젓기,자전거",4,공원녹지과,#######
62,새싹 어린이공원,서울특별시 관악구 봉천동 양녕로6다길 새싹어린이공원,봉천동,"374,844,387,603,998",37.48443876,0.48443876,"1,269,495,842,019,400","허리돌리기,하늘걷기,노젓기,싸이드",4,공원녹지과,#######
63,미성동 소공원,서울특별시 관악구 미성동 888-2,미성동,"374,771,430,000,000",37.477143,0.477143,"1,269,136,890,000,000","하늘걷기,허리돌리기,터닝암",3,공원녹지과,#######
64,선봉 어린이공원,서울특별시 관악구 봉천동 봉천로27길,봉천동,"374,851,650,304,306",37.48516503,0.48516503,"1,269,394,574,964,700","하늘걷기,허리돌리기,터닝암",5,공원녹지과,#######
65,은천 어린이공원,서울특별시 관악구 봉천동 은천로 은천어린이공원,봉천동,"374,882,946,742,796",37.48829467,0.488294674,"1,269,430,098,827,530","흔들이,스텝싸이클,터닝암,허리돌리기",6,공원녹지과,#######
66,국회단지 어린이공원,서울특별시 관악구 봉천동 635-37,봉천동,"374,902,247,074,572",37.49022471,0.490224707,"1,269,433,397,269,860","제자리걷기,허리돌리기,흔들이,암벽타기,하늘걷기,온몸역기올리기,다리들어올리기",10,공원녹지과,#######
67,국지 어린이공원,서울특별시 관악구 봉천동,봉천동,"374,900,116,838,053",37.49001168,0.490011684,"1,269,405,536,764,890","하늘걷기,스텝싸이클,터닝암,허리돌리기",5,공원녹지과,#######
68,국사봉 어린이공원,서울특별시 관악구 봉천동 1511-7,봉천동,"374,899,855,712,697",37.48998557,0.489985571,"1,269,341,848,303,380","롤링암,하늘걷기,스텝싸이클,온몸역기올리기,온몸근육풀기,제자리걷기",6,공원녹지과,#######
69,학다리 어린이공원,서울특별시 관악구 봉천동 산104-60,봉천동,"374,888,418,199,612",37.48884182,0.48884182,"1,269,378,573,661,700","허리돌리기, 암벽타기",2,공원녹지과,#######
70,청룡 어린이공원,서울특별시 관악구 청룡12길,봉천동,"374,776,866,700,000",37.47768667,0.47768667,"1,269,447,092,000,000","하늘걷기, 터닝암, 허리돌리기",3,공원녹지과,#######
71,비안 어린이공원,서울특별시 관악구 봉천동 장군봉5길 비안어린이공원,봉천동,"374,809,837,000,000",37.4809837,0.4809837,"1,269,402,085,000,000","하늘걷기,터닝암,온몸역기올리기,허리돌리기",4,공원녹지과,#######
72,용담 어린이공원,서울특별시 관악구 청룡동 850-8,청룡동,"374,755,465,056,173",37.47554651,0.475546506,"1,269,435,407,640,050",허리돌리기,1,공원녹지과,#######
73,영락 어린이공원,서울특별시 관악구 청룡동 1555-16,청룡동,"374,768,280,951,072",37.4768281,0.476828095,"1,269,437,348,251,100",온몸역기올리기,1,공원녹지과,#######
74,으뜸 어린이공원,서울특별시 관악구 청룡동 1538-26,청룡동,"374,784,551,097,538",37.47845511,0.47845511,"1,269,410,498,077,980","터닝암,스텝싸이클,등허리지압기,상체원그리기,온몸역기올리기",5,공원녹지과,#######
75,까치 어린이공원,서울특별시 관악구 봉천동 행운4길 까치어린이공원,봉천동,"374,799,432,500,000",37.47994325,0.47994325,"1,269,595,981,000,000","흔들이,터닝암,하늘걷기,온몸역기올리기,허리돌리기,상체원그리기",9,공원녹지과,#######
76,장미 어린이공원,서울특별시 관악구 봉천동 148-103,봉천동,"374,790,712,880,006",37.47907129,0.479071288,"1,269,623,674,142,560","스탭싸이클,암벽타기,허리돌리기",4,공원녹지과,#######
77,모래내 어린이공원,서울특별시 관악구 봉천동 남부순환로230길 모래내어린이공원,봉천동,"374,778,008,500,570",37.47780085,0.47780085,"1,269,555,808,301,340","흔들이,윗몸일으키기,하늘걷기,평행봉,온몸역기올리기",7,공원녹지과,#######
78,백설 어린이공원,서울특별시 관악구 봉천동 1606-11,봉천동,"374,760,049,909,088",37.47600499,0.476004991,"1,269,536,698,361,820","다리들기,허리돌리기,터닝암",5,공원녹지과,#######
79,탑골 어린이공원,서울특별시 관악구 봉천동 1510,봉천동,"374,744,604,782,372",37.47446048,0.474460478,"1,269,610,949,067,780","흔들이,제자리걷기,허리돌리기,상체원돌리기",5,공원녹지과,#######
